Date|Type|Location|Coverage
2017-08-21|Partial|Little Rock|88
2017-08-21|Partial|Fayetteville|86
2023-10-14|Annular|Texarkana|62
2023-10-14|Annular|Hot Springs|58
2024-04-08|Total|Little Rock|100
2024-04-08|Total|Jonesboro|100
2024-04-08|Total|Russellville|100
2024-04-08|Total|Conway|100
2024-02-30|Partial|Fort Smith|45
2012-05-20|Annular|Fayetteville|40
2014-10-23|Partial|Little Rock|50
not recorded|Partial|Bentonville|30
1994-05-10|Annular|Pine Bluff|70
1979-02-26|Total|Jonesboro|95
2023-13-05|Partial|Springdale|35
2045-08-12|Total|Hot Springs|100
2017-08-21|Partial|Jonesboro|84
2024-04-08|Total|Hot Springs|100
2023-10-14|Annular|Little Rock|60
2001-06-21|Partial|Conway|20
2048-06-11|Annular|Fort Smith|68
2052-03-30|Total|Texarkana|100
2017-08-21|Partial|Rogers|85
2024-04-08|Total|Paragould|100
2017-08-21|Partial|Little Rock|88
2024-04-08|Total|Little Rock|100
2023-10-14|Annular|Texarkana|62
2024-04-08|Total|Jonesboro|100
